department_name,Acronym,course_number,Node_name,course_title,prerequisites,Prereaquisites (clean)
Aerospace,Ae,100,Ae 100,Research in Aerospace,,
Aerospace,Ae,101 abc,Ae 101 abc,Fluid Mechanics,"APh 17 or ME 11 abc, and ME 12 or equivalent, ACM 95/100 or equivalent (may be taken concurrently)","APh 17 abc, ME 11 abc, ME 12 abc"
Aerospace,Ae,102 abc,Ae 102 abc,Mechanics of Structures and Solids,ME 12 abc,ME 12 abc
Aerospace,Ae,103 ab,Ae 103 ab,Aerospace Control Systems,"CDS 110 (or equivalent), CDS 131 or permission of instructor","CDS 110, CDS 131"
Aerospace,Ae,104 abc,Ae 104 abc,Experimental Methods,"ACM 95/100 ab or equivalent (may be taken concurrently), Ae/APh/CE/ME 101 abc or equivalent (may be taken concurrently)","ACM 95/100 ab, Ae 101 abc"
Aerospace,Ae,105 abc,Ae 105 abc,Space Engineering,ME 11 abc and ME 12 abc or equivalent,"ME 11 abc, ME 12 abc"
Aerospace,Ae,115 ab,Ae 115 ab,Spacecraft Navigation,CDS 110 a,CDS 110
Aerospace,Ae,118,Ae 118,Classical Thermodynamics,"ME11abc, ME12abc, or equivalent","ME 11 abc, ME 12 abc"
Aerospace,Ae,120,Ae 120,Combustion Fundamentals,Recommended: ME 118 and 119 or equivalent,"Ae 118, ME 119"
Aerospace,Ae,150 abc,Ae 150 abc,Aerospace Engineering Seminar,,
Aerospace,Ae,159,Ae 159,Optical Engineering,"Ph 2, EE/Ae 157, or equivalent; APh 23 desirable","Ph 2 abc, EE 157 ab, APh 23"
Aerospace,Ae,160 ab,Ae 160 ab,Continuum Mechanics of Fluids and Solids,,
Aerospace,Ae,165 ab,Ae 165 ab,Mechanics of Composite Materials and Structures,Ae/AM/CE/ME 102 a,Ae 102 abc
Aerospace,Ae,200,Ae 200,Advanced Research in Aerospace,,
Aerospace,Ae,201 a,Ae 201 a,Advanced Fluid Mechanics,Ae/APh/CE/ME 101 abc or equivalent; AM 125 abc or ACM/IDS 101 (may be taken concurrently),"Ae 101 abc, ACM 101 ab"
