Course,Department Name,Title,Pre Req
AS.440.011,AAP Applied Economics,Forecasting in Organizations,You must enroll in AS.440.615 AND one of the following course: AS.440.614 OR AS.440.618 prior to taking AS.410.011
AS.440.304,AAP Applied Economics,Math Methods for Economists,
AS.440.601,AAP Applied Economics,Microeconomic Theory,
AS.440.602,AAP Applied Economics,Macroeconomic Theory,
AS.440.605,AAP Applied Economics,Statistics,
AS.440.606,AAP Applied Economics,Econometrics,"You must take AS.440.605 Statistics, prior to enrolling in AS.440.606 unless waived."
AS.440.614,AAP Applied Economics,Macroeconometrics [Time-Series Analysis],You must take AS.440.602 AND AS.440.606 prior to enrolling in AS.440.614.
AS.440.615,AAP Applied Economics,Macroeconomic Forecasting [Time Series Analysis],You must take AS.440.602 AND AS.440.606 prior to enrolling in AS.440.615
AS.440.616,AAP Applied Economics,Bayesian Econometrics,
AS.440.617,AAP Applied Economics,Financial Econometrics [Time-Series Analysis],You must take AS.440.601 AND AS.440.606 prior to enrolling in AS.440.617; 440.614 Macroeconometrics is recommended..
AS.440.618,AAP Applied Economics,Microeconometrics [Cross-Section and Panel Analysis],
AS.440.622,AAP Applied Economics,Cost-Benefit Analysis,You must take AS.440.601 prior to enrolling in AS.440.622.
AS.440.624,AAP Applied Economics,Computable General Equilibrium Modeling,You must take AS.440.601 AND AS.440.602 prior to enrolling in AS.440.624.
AS.440.625,AAP Applied Economics,Machine Learning in Statistics,AS.440.606[C]
AS.440.629,AAP Applied Economics,Survey Research Methods,You must take AS.440.601 AND AS.440.605 prior to enrolling in AS.440.629
AS.440.630,AAP Applied Economics,Monetary Economics,You must take AS.440.601 AND AS.440.602 AND AS.440.606 prior to enrolling in AS.440.630
AS.440.631,AAP Applied Economics,Finance and the Macroeconomy,You must take AS.440.601 AND AS.440.602 prior to enrolling in AS.440.631
AS.440.632,AAP Applied Economics,Topics in Macroeconomics and Finance,"You must take AS.440.601, AS.440.602 AND AS.440.606 prior to enrolling in AS.440.632"
AS.440.634,AAP Applied Economics,Economic Growth,You must take AS.440.601 and AS.440.602 prior to enrolling in AS.440.634
AS.440.639,AAP Applied Economics,International Finance (Open Economy Macro),You must take AS.440.601 AND AS.440.602 prior to enrolling in AS.440.639
AS.440.640,AAP Applied Economics,Financial Economics,You must take AS.440.601 prior to enrolling in AS.440.640
AS.440.641,AAP Applied Economics,Financial Intermediation & Financial Markets,You must take AS.440.601 and AS.440.602 prior to enrolling in AS.440.641
AS.440.643,AAP Applied Economics,Economics of Investments and Financial Management,You must take AS.440.601 and 440.640 Financial Economic prior to enrolling in AS.440.643
AS.440.645,AAP Applied Economics,Behavioral Economics & Finance,You must first complete AS.440.601 prior to enrolling in AS.440.645
AS.440.646,AAP Applied Economics,Economics of Derivatives,You must take AS.440.601 prior to enrolling in AS.440.646
AS.440.650,AAP Applied Economics,Environmental & Resource Economics,You must take AS.440.601 prior to enrolling in AS.440.650
AS.440.653,AAP Applied Economics,Economics of the Labor Market,You must take AS.440.601 and AS.440.602 prior to enrolling in AS.440.653
AS.440.656,AAP Applied Economics,Political Economy,You must take AS.440.601 Microeconomic Theory prior to enrolling in AS.440.656 Political Economy.
AS.440.658,AAP Applied Economics,Industrial Organization,You must take AS.440.601 prior to enrolling in AS.440.658
AS.440.659,AAP Applied Economics,Law and Economics,You must take AS.440.601 prior to enrolling in AS.440.659
AS.440.661,AAP Applied Economics,Public Economics,You must take AS.440.601 AND AS.440.602 prior to taking AS.440.661
